Exit Date,Product Number,Launch Date,Product Description,ACV Fall,Future Product Policy,ACV Spg,Present Product Policy,Theme,NIP ($),On Shelf,Item ID,Margin,Case Pack,RRP
12/31/2015,60068,1/1/2015,Crooks’ Hideout,0,A,0,A,LEGO® City Police,59.39,January,6100313,34%,3,89.99
12/31/2015,60060,1/1/2014,Auto Transporter,0,A,0,A,LEGO® City Great Vehicles,25.99,Full Year,6059140,35%,2,39.99
12/31/2015,60062,8/1/2014,Arctic Icebreaker,0,D,0,D,LEGO® City Arctic,92.99,Full Year,6059177,38%,2,149.99
12/31/2015,60065,1/1/2015,ATV Patrol,0,A,0,A,LEGO® City Police,5.57,January,6100307,38%,8,8.99
12/31/2015,60066,1/1/2015,Swamp Police Starter Set,0,A,0,A,LEGO® City Police,8.05,January,6100309,38%,5,12.99
2/28/2015,70503,1/1/2013,The Golden Dragon,0,A,0,A,LEGO® Ninjago,24.79,Jan/Feb Only,6024738,38%,3,39.99
12/31/2015,79118,4/1/2014,Karai Bike Escape,0,A,0,A,LEGO® Teenage Mutant Ninja Turtles™,11.19,Full Year,6062118,30%,6,15.99
2/28/2015,70502,1/1/2013,Cole's Earth Driller,0,A,0,A,LEGO® Ninjago,15.49,Jan/Feb Only,6024736,38%,3,24.99
12/31/2015,60099,9/1/2015,LEGO® City Advent Calendar,0,F,0,,LEGO® City Town,26.39,September,6100393,34%,3,39.99
12/31/2015,70228,1/1/2015,Vultrix’s Sky Scavenger,0,D,0,D,LEGO® Legends of Chima™,32.99,January,6099908,34%,4,49.99
12/31/2015,70229,1/1/2015,Lion Tribe Pack,0,A,0,A,LEGO® Legends of Chima™,8.57,January,6099906,34%,5,12.99
12/31/2015,70220,1/1/2015,Strainor’s Saber Cycle,0,A,0,A,LEGO® Legends of Chima™,11.87,January,6099931,34%,5,17.99
7/31/2016,70221,1/1/2015,Flinx’s Ultimate Phoenix,0,A,0,A,LEGO® Legends of Chima™,16.49,January,6099929,34%,4,24.99
7/31/2016,70226,8/1/2015,Mammoth’s Frozen Stronghold,0,A,0,A,LEGO® Legends of Chima™,49.49,August,6099916,34%,3,74.99
7/31/2016,70227,8/1/2015,King Crominus’ Rescue,0,A,0,A,LEGO® Legends of Chima™,72.59,August,6099912,34%,3,109.99
12/31/2015,70224,1/1/2015,Tiger’s Mobile Command,0,A,0,A,LEGO® Legends of Chima™,65.99,January,6099921,34%,3,99.99
7/31/2016,70225,8/1/2015,Bladvic’s Rumble Bear,0,A,0,A,LEGO® Legends of Chima™,32.99,August,6099919,34%,4,49.99
12/31/2016,75072,1/1/2015,ARC-170 Starfighter™,0,A,0,A,LEGO® Star Wars™,9.09,January,6100094,30%,5,12.99
12/31/2016,75073,1/1/2015,Vulture Droid™,0,A,0,A,LEGO® Star Wars™,9.09,January,6100098,30%,5,12.99
12/31/2016,75076,1/1/2015,Republic Gunship™,0,A,0,A,LEGO® Star Wars™,9.09,January,6100108,30%,5,12.99
12/31/2016,75077,1/1/2015,Homing Spider Droid™,0,A,0,A,LEGO® Star Wars™,9.09,January,6100111,30%,5,12.99
12/31/2015,41088,1/1/2015,Puppy Training,0,A,0,A,LEGO® Friends,4.95,January,6099631,38%,10,7.99
7/31/2015,70135,8/1/2014,Cragger’s Fire Striker,0,D,0,D,LEGO® Legends of Chima™,32.49,Spring Only,6061469,35%,4,49.99
12/31/2015,41060,1/1/2015,Sleeping Beauty’s Royal Bedroom,0,A,0,A,LEGO® brand Disney Princess™,11.19,January,6100650,30%,5,15.99
7/31/2015,10500,8/1/2014,Horse Stable,0,C,0,C,LEGO® DUPLO® Town,22.74,Spring Only,6070800,35%,2,34.99
