ProductID,FoldingType,LaminationType,PaperSize,PaperType,PaperTypeID,PrintOrientationID,PrintType,ProdQty,ProductType,Price,SalePrice,PrintPageNumber,IsActive,ProductTurnaroundID,VatRate,EmailArtwork,ProductCoverID,SubProductTypeID,ApplicationID,NoArtwork,ProdRange,ProductFinishingID,DateCreated
54037,NULL,Gloss Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,100,Flyers & Leaflets,26,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54038,NULL,Gloss Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,500,Flyers & Leaflets,36,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54039,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,100,Flyers & Leaflets,29,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54040,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,500,Flyers & Leaflets,45,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54041,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,250,Flyers & Leaflets,34,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54042,NULL,Velvet Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,1000,Flyers & Leaflets,68,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54043,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,500,Flyers & Leaflets,44,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54044,NULL,Gloss Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,1000,Flyers & Leaflets,42,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54045,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,1000,Flyers & Leaflets,66,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54046,NULL,Matt Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,1000,Flyers & Leaflets,42,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54047,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,2000,Flyers & Leaflets,109,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54048,NULL,Matt Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,2000,Flyers & Leaflets,52,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54049,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,5000,Flyers & Leaflets,235,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54050,NULL,Gloss Lamination,A6,Economy 150gsm Silk,87,NULL,Double Sided,2000,Flyers & Leaflets,52,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
54051,NULL,Velvet Lamination,A6,Exclusive 350gsm Silk,89,NULL,Single Sided,10000,Flyers & Leaflets,429,0,NULL,1,42,20,0,NULL,NULL,2,0,NULL,NULL,29:15.3
